AmbulanceR,BikeAge,BikeAlcFlg,BikeDir,BikeInjury,BikeSex,City,County,CrashAlcoh,CrashDay,CrashGrp,CrashHour,CrashMonth,CrashType,CrashYear,DrvrAge,DrvrAlcFlg,DrvrInjury,DrvrSex,DrvrVehTyp,HitRun,Latitude,Longitude,RdConditio,SpeedLimit,TraffCntrl,Weather,Workzone,DrvrAgeImputedFlag,BikeAgeImputedFlag,MonthCode
Yes,35.0,No,With Traffic,B: Suspected Minor Injury,Male,Raleigh,Wake,No,Tuesday,Motorist Overtaking Bicyclist,11.0,January,Motorist Overtaking - Other / Unknown,2007,27.0,No,O: No Injury,Male,Pickup,No,35.854084,-78.580986,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,1
No,40.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,Johnston,No,Wednesday,Motorist Failed to Yield - Sign-Controlled Intersection,20.0,January,Motorist Drive Out - Sign-Controlled Intersection,2007,21.0,No,O: No Injury,Female,Passenger Car,No,35.4828,-78.2452,Dry,50 - 55  MPH,Stop Sign,Clear,No,0,0,1
Yes,31.0,No,With Traffic,B: Suspected Minor Injury,Male,Davidson,Mecklenburg,No,Wednesday,Motorist Right Turn / Merge,15.0,January,Motorist Right Turn - Same Direction,2007,17.0,No,O: No Injury,Female,Passenger Car,No,35.491177,-80.83144,Dry,30 - 35  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,1
Yes,10.0,No,Not Applicable,C: Possible Injury,Female,Smithfield,Johnston,No,Friday,Bicyclist Failed to Yield - Midblock,14.0,January,Bicyclist Ride Out - Other Midblock,2007,66.0,No,O: No Injury,Female,Passenger Car,No,35.50502,-78.351204,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,1
Yes,31.0,No,Facing Traffic,C: Possible Injury,Female,Smithfield,Johnston,No,Friday,Motorist Failed to Yield - Sign-Controlled Intersection,8.0,January,Motorist Drive Out - Sign-Controlled Intersection,2007,47.0,No,O: No Injury,Male,Pickup,No,35.492355,-78.35791,Wet,30 - 35  MPH,No Control Present,Rain,No,0,0,1
Yes,10.0,No,Not Applicable,A: Suspected Serious Injury,Male,None - Rural Crash,Davie,No,Saturday,Bicyclist Failed to Yield - Midblock,13.0,January,Bicyclist Ride Out - Other Midblock,2007,26.0,No,O: No Injury,Female,Passenger Car,No,36.01364,-80.4382,Dry,50 - 55  MPH,No Control Present,Clear,No,0,0,1
No,49.0,Yes,With Traffic,C: Possible Injury,Female,None - Rural Crash,Robeson,Yes,Saturday,Loss of Control / Turning Error,6.0,January,"Bicyclist Lost Control - Oversteering, Improper Braking, Speed",2007,61.0,No,O: No Injury,Male,Pickup,No,34.71112,-79.02516,Wet,50 - 55  MPH,No Control Present,Cloudy,No,0,0,1
No,6.0,No,Not Applicable,C: Possible Injury,Female,Durham,Durham,No,Saturday,Bicyclist Failed to Yield - Midblock,13.0,January,Bicyclist Ride Out - Residential Driveway,2007,66.0,No,O: No Injury,Male,Pickup,No,36.002743,-78.8785,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,1
No,31.0,Yes,Facing Traffic,B: Suspected Minor Injury,Male,Gastonia,Gaston,Yes,Saturday,Motorist Failed to Yield - Midblock,13.0,January,Motorist Drive Out - Commercial Driveway / Alley,2007,29.0,No,O: No Injury,Male,Pickup,No,35.262295,-81.15347,Dry,Unknown,No Control Present,Clear,No,0,0,1
Yes,30.0,Yes,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Carteret,Yes,Monday,Motorist Overtaking Bicyclist,19.0,January,Motorist Overtaking - Undetected Bicyclist,2007,19.0,No,O: No Injury,Female,Passenger Car,No,34.792816,-76.88812,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,1
No,54.0,No,Facing Traffic,C: Possible Injury,Male,Winston-Salem,Forsyth,No,Monday,Head-On,15.0,January,Head-On - Bicyclist,2007,46.0,No,O: No Injury,Male,Passenger Car,No,36.12228,-80.23296,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,1
Yes,40.0,No,Facing Traffic,B: Suspected Minor Injury,Male,Burlington,Alamance,No,Friday,Motorist Failed to Yield - Midblock,17.0,January,Motorist Drive Out - Commercial Driveway / Alley,2007,67.0,No,O: No Injury,Male,Passenger Car,No,36.07042,-79.49479,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,1
Yes,8.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Lincoln,No,Tuesday,Motorist Overtaking Bicyclist,17.0,January,Motorist Overtaking - Bicyclist Swerved,2007,25.0,No,O: No Injury,Female,Passenger Car,No,35.515663,-81.20707,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,1
Yes,13.0,Yes,Facing Traffic,C: Possible Injury,Male,None - Rural Crash,Iredell,Yes,Tuesday,Head-On,17.0,January,Head-On - Bicyclist,2007,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.80795,-80.94646,Dry,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,1,0,1
Yes,60.0,No,With Traffic,A: Suspected Serious Injury,Female,Lewisville,Forsyth,No,Tuesday,Motorist Left Turn / Merge,16.0,January,Motorist Left Turn - Opposite Direction,2007,46.0,No,O: No Injury,Female,Pickup,No,36.094707,-80.451485,Dry,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,1
Yes,21.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,Orange,No,Tuesday,Motorist Overtaking Bicyclist,8.0,January,Motorist Overtaking - Misjudged Space,2007,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.938232,-79.1048,Dry,40 - 45  MPH,No Control Present,Clear,No,1,0,1
Yes,42.0,No,With Traffic,K: Killed,Male,Charlotte,Mecklenburg,Yes,Tuesday,Motorist Overtaking Bicyclist,8.0,January,Motorist Overtaking - Other / Unknown,2007,27.0,Yes,O: No Injury,Female,Passenger Car,No,35.17583,-80.71236,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,1
Yes,51.0,No,With Traffic,C: Possible Injury,Male,Greenville,Pitt,No,Tuesday,Crossing Paths - Other Circumstances,23.0,January,Crossing Paths - Intersection - Other / Unknown,2007,34.0,No,O: No Injury,Male,Passenger Car,No,35.612984,-77.39265,Dry,40 - 45  MPH,Stop And Go Signal,Clear,No,0,0,1
No,50.0,No,With Traffic,C: Possible Injury,Male,Charlotte,Mecklenburg,No,Thursday,Bicyclist Failed to Yield - Signalized Intersection,11.0,January,Bicyclist Ride Out - Signalized  Intersection,2007,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.245506,-80.8931,Dry,40 - 45  MPH,Stop And Go Signal,Clear,No,1,0,1
Yes,12.0,No,Not Applicable,A: Suspected Serious Injury,Male,Winston-Salem,Forsyth,No,Friday,Bicyclist Failed to Yield - Midblock,19.0,January,Bicyclist Ride Out - Commercial Driveway / Alley,2007,28.0,No,O: No Injury,Male,Unknown,Yes,36.08168,-80.22822,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,1
Yes,18.0,No,Not Applicable,B: Suspected Minor Injury,Male,Wilmington,New Hanover,No,Saturday,Bicyclist Failed to Yield - Midblock,10.0,January,Bicyclist Ride Out - Commercial Driveway / Alley,2007,23.0,No,O: No Injury,Male,Passenger Car,No,34.209282,-77.8869,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,1
No,10.0,No,With Traffic,Unknown Injury,Male,Farmville,Pitt,No,Sunday,Bicyclist Failed to Yield - Sign-Controlled Intersection,16.0,January,Bicyclist Ride Through - Sign-Controlled Intersection,2007,52.0,No,O: No Injury,Female,Passenger Car,No,35.595676,-77.59074,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,1
Yes,14.0,No,Not Applicable,B: Suspected Minor Injury,Female,Fayetteville,Cumberland,No,Monday,Bicyclist Failed to Yield - Midblock,16.0,January,Bicyclist Ride Out - Residential Driveway,2007,35.0,No,O: No Injury,Female,Passenger Car,No,35.045383,-78.95343,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,1
Yes,17.0,No,Unknown,B: Suspected Minor Injury,Male,Charlotte,Mecklenburg,No,Friday,Loss of Control / Turning Error,19.0,January,Motorist Lost Control - Other / Unknown,2007,33.0,No,O: No Injury,Female,Sport Utility,No,35.076767,-80.7728,Dry,40 - 45  MPH,Stop And Go Signal,Cloudy,No,0,0,1
Yes,11.0,No,Not Applicable,B: Suspected Minor Injury,Male,Durham,Durham,No,Friday,Bicyclist Failed to Yield - Signalized Intersection,18.0,March,Bicyclist Ride Out - Signalized  Intersection,2007,24.0,No,O: No Injury,Male,Passenger Car,No,35.99294,-78.870125,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,3
Yes,28.0,No,With Traffic,B: Suspected Minor Injury,Male,Durham,Durham,No,Saturday,Motorist Failed to Yield - Sign-Controlled Intersection,20.0,March,Motorist Drive Out - Sign-Controlled Intersection,2007,42.03850604944766,Missing,Unknown Injury,Unknown,Passenger Car,Yes,35.991573,-78.874756,Dry,30 - 35  MPH,Stop Sign,Clear,No,1,0,3
Yes,47.0,No,With Traffic,B: Suspected Minor Injury,Male,Charlotte,Mecklenburg,No,Monday,Motorist Right Turn / Merge,17.0,January,Motorist Right Turn - Same Direction,2007,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.235817,-80.8049,Dry,Unknown,No Control Present,Clear,No,1,0,1
Yes,49.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,Pitt,No,Tuesday,Motorist Overtaking Bicyclist,18.0,January,Motorist Overtaking - Undetected Bicyclist,2007,46.0,No,O: No Injury,Male,Passenger Car,No,35.615498,-77.5762,Dry,50 - 55  MPH,No Control Present,Clear,No,0,0,1
Yes,22.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Pitt,No,Friday,Bicyclist Failed to Yield - Sign-Controlled Intersection,15.0,January,Bicyclist Ride Out - Sign-Controlled Intersection,2007,33.0,No,O: No Injury,Female,Van,No,35.62566,-77.29887,Dry,50 - 55  MPH,Stop Sign,Clear,No,0,0,1
Yes,46.0,No,With Traffic,K: Killed,Male,None - Rural Crash,Cleveland,No,Friday,Parallel Paths - Other Circumstances,12.0,January,Parallel Paths - Other / Unknown,2007,35.0,No,O: No Injury,Male,Tractor/Semi-Trailer,No,35.246716,-81.42572,Dry,60 - 75 MPH,No Control Present,Clear,No,0,0,1
Yes,21.0,No,With Traffic,B: Suspected Minor Injury,Female,Asheville,Buncombe,No,Monday,Motorist Overtaking Bicyclist,23.0,March,Motorist Overtaking - Bicyclist Swerved,2007,39.0,No,O: No Injury,Male,Sport Utility,No,35.617664,-82.56375,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,3
Yes,22.0,No,Facing Traffic,C: Possible Injury,Male,Jacksonville,Onslow,No,Friday,Motorist Failed to Yield - Midblock,13.0,January,Motorist Drive Out - Commercial Driveway / Alley,2007,37.0,No,O: No Injury,Male,Pickup,No,34.74369,-77.38374,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,1
No,32.0,No,With Traffic,O: No Injury,Male,Charlotte,Mecklenburg,No,Friday,Loss of Control / Turning Error,11.0,January,Bicyclist Turning Error - Right Turn,2007,44.0,No,O: No Injury,Male,Passenger Car,No,35.211964,-80.855385,Dry,20 - 25  MPH,Stop Sign,Clear,No,0,0,1
Yes,36.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Robeson,No,Sunday,Bicyclist Left Turn / Merge,18.0,January,Bicyclist Left Turn - Same Direction,2007,40.0,No,O: No Injury,Male,Pickup,No,34.70917,-79.13827,Wet,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,0,0,1
Yes,60.0,No,With Traffic,B: Suspected Minor Injury,Male,Lexington,Davidson,No,Sunday,Bicyclist Failed to Yield - Signalized Intersection,15.0,January,Bicyclist Ride Through - Signalized Intersection,2007,58.0,No,O: No Injury,Female,Passenger Car,No,35.814167,-80.264114,Wet,30 - 35  MPH,Stop And Go Signal,Cloudy,No,0,0,1
Yes,36.0,No,With Traffic,C: Possible Injury,Male,Durham,Durham,No,Friday,Bicyclist Left Turn / Merge,15.0,March,Bicyclist Left Turn - Same Direction,2007,16.0,No,O: No Injury,Male,Passenger Car,No,36.017002,-78.91431,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,3
Yes,31.0,Yes,With Traffic,C: Possible Injury,Male,Durham,Durham,Yes,Friday,Loss of Control / Turning Error,23.0,March,Bicylist Lost Control - Alcohol / Drug Impairment,2007,42.03850604944766,Missing,O: No Injury,Male,Passenger Car,No,36.010605,-78.95482,Dry,5 - 15 MPH,Stop Sign,Clear,No,1,0,3
No,6.0,No,Facing Traffic,O: No Injury,Male,Charlotte,Mecklenburg,No,Monday,Loss of Control / Turning Error,12.0,January,Bicyclist Turning Error - Left Turn,2007,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.19999,-80.75713,Dry,20 - 25  MPH,Stop Sign,Clear,No,1,0,1
Yes,36.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,New Hanover,No,Wednesday,Motorist Overtaking Bicyclist,11.0,January,Motorist Overtaking - Other / Unknown,2007,42.03850604944766,No,Unknown Injury,Unknown,Unknown,Yes,34.128498,-77.89818,Dry,50 - 55  MPH,No Control Present,Clear,No,1,0,1
No,32.52649525389365,Missing,Facing Traffic,Unknown Injury,Unknown,Raleigh,Wake,No,Wednesday,Head-On,18.0,January,Head-On - Bicyclist,2007,49.0,No,O: No Injury,Female,Passenger Car,No,35.75079,-78.6696,Dry,30 - 35  MPH,No Control Present,Clear,No,0,1,1
Yes,52.0,No,With Traffic,B: Suspected Minor Injury,Female,None - Rural Crash,Carteret,No,Wednesday,Motorist Overtaking Bicyclist,18.0,January,Motorist Overtaking - Other / Unknown,2007,42.03850604944766,Missing,Unknown Injury,Unknown,Truck/Trailer,Yes,34.75681,-77.09396,Dry,50 - 55  MPH,No Control Present,Clear,No,1,0,1
Yes,52.0,No,With Traffic,A: Suspected Serious Injury,Male,Durham,Durham,No,Monday,Motorist Overtaking Bicyclist,20.0,April,Motorist Overtaking - Undetected Bicyclist,2007,20.0,No,O: No Injury,Female,Passenger Car,No,35.966644,-78.96749,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,4
Yes,16.0,No,With Traffic,C: Possible Injury,Male,Kinston,Lenoir,No,Saturday,Motorist Overtaking Bicyclist,0.0,January,Motorist Overtaking - Undetected Bicyclist,2007,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.253994,-77.574646,Dry,20 - 25  MPH,Stop Sign,Clear,No,1,0,1
Yes,46.0,No,With Traffic,C: Possible Injury,Male,Raleigh,Wake,No,Saturday,Motorist Left Turn / Merge,13.0,January,Motorist Left Turn - Opposite Direction,2007,53.0,No,O: No Injury,Male,Passenger Car,No,35.825985,-78.70492,Dry,20 - 25  MPH,Stop And Go Signal,Clear,No,0,0,1
Yes,18.0,No,Unknown,C: Possible Injury,Female,Durham,Durham,No,Monday,Bicyclist Failed to Yield - Sign-Controlled Intersection,19.0,April,Bicyclist Ride Through - Sign-Controlled Intersection,2007,40.0,No,O: No Injury,Male,Passenger Car,No,35.996304,-78.88007,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,4
Yes,38.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,Jones,No,Monday,Motorist Overtaking Bicyclist,15.0,January,Motorist Overtaking - Other / Unknown,2007,38.0,No,O: No Injury,Male,Pickup,No,34.94384,-77.23979,Dry,50 - 55  MPH,No Control Present,Clear,No,0,0,1
Yes,23.0,No,Unknown,C: Possible Injury,Male,Washington,Beaufort,No,Monday,Bicyclist Failed to Yield - Sign-Controlled Intersection,14.0,January,Bicyclist Ride Out - Sign-Controlled Intersection,2007,61.0,No,O: No Injury,Male,Pickup,No,35.552254,-77.04171,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,1
Yes,11.0,No,Unknown,A: Suspected Serious Injury,Female,Eden,Rockingham,No,Thursday,Bicyclist Failed to Yield - Sign-Controlled Intersection,18.0,April,Bicyclist Ride Through - Sign-Controlled Intersection,2007,45.0,No,O: No Injury,Female,Passenger Car,No,36.499874,-79.76945,Dry,20 - 25  MPH,Stop Sign,Clear,No,0,0,4
No,40.0,No,Facing Traffic,B: Suspected Minor Injury,Male,Fayetteville,Cumberland,No,Wednesday,Crossing Paths - Other Circumstances,14.0,January,Crossing Paths - Intersection - Other / Unknown,2007,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.09925,-78.877464,Dry,20 - 25  MPH,No Control Present,Clear,No,1,0,1
Yes,15.0,No,Not Applicable,A: Suspected Serious Injury,Male,None - Rural Crash,Davidson,No,Sunday,Bicyclist Failed to Yield - Midblock,13.0,February,Bicyclist Ride Out - Commercial Driveway / Alley,2007,17.0,No,C: Possible Injury,Female,Passenger Car,No,35.69932,-80.24638,Dry,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,2
Yes,7.0,No,With Traffic,C: Possible Injury,Male,Durham,Durham,No,Saturday,Motorist Right Turn / Merge,19.0,April,Motorist Right Turn - Same Direction,2007,42.03850604944766,Missing,Unknown Injury,Unknown,Passenger Car,Yes,36.003853,-78.89609,Dry,Unknown,Stop Sign,Cloudy,No,1,0,4
Yes,6.0,No,Facing Traffic,B: Suspected Minor Injury,Male,Morganton,Burke,No,Wednesday,Bicyclist Failed to Yield - Sign-Controlled Intersection,16.0,February,Bicyclist Ride Out - Sign-Controlled Intersection,2007,17.0,No,O: No Injury,Female,Passenger Car,No,35.74463,-81.69225,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,2
No,13.0,No,With Traffic,Unknown Injury,Male,Havelock,Craven,No,Wednesday,Motorist Right Turn / Merge,7.0,February,Motorist Right Turn - Same Direction,2007,17.0,No,O: No Injury,Female,Pickup,No,34.882698,-76.91064,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,2
No,5.0,No,Not Applicable,C: Possible Injury,Female,Gastonia,Gaston,No,Wednesday,Bicyclist Failed to Yield - Midblock,15.0,February,Bicyclist Ride Out - Commercial Driveway / Alley,2007,43.0,No,O: No Injury,Male,Sport Utility,No,35.2754,-81.19957,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,2
Yes,7.0,No,Unknown,B: Suspected Minor Injury,Female,None - Rural Crash,Sampson,No,Friday,Non-Roadway,0.0,February,Non-Roadway,2007,51.0,No,O: No Injury,Male,Sport Utility,No,35.184418,-78.50205,Dry,50 - 55  MPH,No Control Present,Clear,No,0,0,2
Yes,15.0,No,With Traffic,C: Possible Injury,Male,Raleigh,Wake,No,Friday,Motorist Right Turn / Merge,15.0,February,Motorist Right Turn - Same Direction,2007,45.0,No,O: No Injury,Male,Passenger Car,No,35.946255,-78.5663,Dry,30 - 35  MPH,Stop And Go Signal,Clear,No,0,0,2
Yes,20.0,Yes,Unknown,B: Suspected Minor Injury,Male,Monroe,Union,Yes,Monday,Bicyclist Failed to Yield - Sign-Controlled Intersection,19.0,February,Bicyclist Ride Out - Sign-Controlled Intersection,2007,32.0,No,O: No Injury,Female,Passenger Car,No,34.974567,-80.55748,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,2
No,16.0,No,Facing Traffic,C: Possible Injury,Male,Raleigh,Wake,No,Monday,Motorist Failed to Yield - Signalized Intersection,17.0,February,Motorist Drive Out - Right Turn on Red,2007,42.03850604944766,Missing,Unknown Injury,Unknown,Sport Utility,Yes,35.893036,-78.559326,Dry,40 - 45  MPH,Stop And Go Signal,Clear,No,1,0,2
Yes,11.0,No,With Traffic,C: Possible Injury,Female,Cary,Wake,No,Sunday,Crossing Paths - Other Circumstances,16.0,April,Crossing Paths - Intersection - Other / Unknown,2007,20.0,No,O: No Injury,Male,Passenger Car,No,35.767086,-78.767784,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,4
Yes,20.0,No,With Traffic,B: Suspected Minor Injury,Male,Wilson,Wilson,No,Tuesday,Motorist Left Turn / Merge,22.0,February,Motorist Left Turn - Opposite Direction,2007,36.0,No,O: No Injury,Female,Passenger Car,No,35.73195,-77.92268,Wet,40 - 45  MPH,Stop And Go Signal,Rain,No,0,0,2
No,45.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,Wake,No,Wednesday,Other / Unusual Circumstances,17.0,February,Motorist Intentionally Caused,2007,42.03850604944766,No,Unknown Injury,Unknown,Passenger Car,Yes,35.68361,-78.72344,Dry,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,1,0,2
Yes,34.0,Yes,With Traffic,C: Possible Injury,Male,None - Rural Crash,Robeson,Yes,Friday,Motorist Overtaking Bicyclist,18.0,February,Motorist Overtaking - Other / Unknown,2007,33.0,No,O: No Injury,Female,Passenger Car,No,34.642338,-79.20692,Dry,50 - 55  MPH,No Control Present,Clear,No,0,0,2
No,38.0,No,With Traffic,O: No Injury,Male,Jefferson,Ashe,No,Friday,Bicyclist Failed to Yield - Signalized Intersection,7.0,April,Bicyclist Failed to Clear - Trapped,2007,64.0,No,O: No Injury,Female,Passenger Car,No,36.420494,-81.47394,Dry,30 - 35  MPH,Stop And Go Signal,Clear,No,0,0,4
Yes,30.0,No,With Traffic,A: Suspected Serious Injury,Male,Charlotte,Mecklenburg,No,Sunday,Motorist Failed to Yield - Sign-Controlled Intersection,18.0,February,Motorist Drive Out - Sign-Controlled Intersection,2007,64.0,No,O: No Injury,Male,Passenger Car,No,35.18636,-80.89053,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,2
Yes,19.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,New Hanover,No,Tuesday,Motorist Overtaking Bicyclist,7.0,February,Motorist Overtaking - Other / Unknown,2007,36.0,No,O: No Injury,Female,"Light Truck (Mini-Van, Panel)",No,34.333782,-77.84164,Dry,50 - 55  MPH,No Control Present,Clear,No,0,0,2
Yes,38.0,No,With Traffic,A: Suspected Serious Injury,Male,Charlotte,Mecklenburg,No,Tuesday,Motorist Left Turn / Merge,7.0,February,Motorist Left Turn - Opposite Direction,2007,53.0,No,O: No Injury,Female,Passenger Car,No,35.19815,-80.80796,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,2
Yes,48.0,No,With Traffic,B: Suspected Minor Injury,Male,Cary,Wake,No,Tuesday,Motorist Left Turn / Merge,14.0,May,Motorist Left Turn - Opposite Direction,2007,37.0,No,O: No Injury,Male,"Single Unit Truck (2-Axle, 6-Tire)",No,35.767788,-78.76549,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,5
Yes,17.0,No,Not Applicable,B: Suspected Minor Injury,Male,Cary,Wake,No,Friday,Bicyclist Failed to Yield - Midblock,17.0,April,Multiple Threat - Midblock,2007,49.0,No,O: No Injury,Male,Pickup,No,35.769447,-78.782455,Dry,20 - 25  MPH,No Control Present,Cloudy,No,0,0,4
Yes,53.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Mcdowell,Yes,Monday,Head-On,16.0,January,Head-On - Motorist,2007,28.0,Yes,O: No Injury,Male,"Single Unit Truck (2-Axle, 6-Tire)",No,35.654827,-82.24583,"Sand, Mud, Dirt, Gravel",50 - 55  MPH,No Control Present,Clear,No,0,0,1
No,12.0,No,Facing Traffic,B: Suspected Minor Injury,Male,Raleigh,Wake,No,Tuesday,Crossing Paths - Other Circumstances,19.0,February,Crossing Paths - Intersection - Other / Unknown,2007,58.0,No,O: No Injury,Male,Sport Utility,No,35.855324,-78.711586,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,2
